state	pathogen	test_result	state_code	country	2021-11-06	2021-11-13	2021-11-20	2021-11-27	2021-12-04	2021-12-11	2021-12-18	2021-12-25	2022-01-01	2022-01-08	2022-01-15	2022-01-22	2022-01-29	2022-02-05	2022-02-12	2022-02-19	2022-02-26	2022-03-05	2022-03-12	2022-03-19	2022-03-26	2022-04-02	2022-04-09	2022-04-16	2022-04-23	2022-04-30	2022-05-07	2022-05-14	2022-05-21	2022-05-28	2022-06-04	2022-06-11	2022-06-18	2022-06-25	2022-07-02	2022-07-09	2022-07-16	2022-07-23	2022-07-30	2022-08-06	2022-08-13	2022-08-20	2022-08-27	2022-09-03	2022-09-10	2022-09-17	2022-09-24	2022-10-01	2022-10-08	2022-10-15	2022-10-22	2022-10-29	2022-11-05	2022-11-12	2022-11-19	2022-11-26	2022-12-03	2022-12-10	2022-12-17	2022-12-24	2022-12-31	2023-01-07	2023-01-14	2023-01-21	2023-01-28	2023-02-04	2023-02-11	2023-02-18	2023-02-25	2023-03-04	2023-03-11	2023-03-18	2023-03-25	2023-04-01	2023-04-08	2023-04-15	2023-04-22	2023-04-29	2023-05-06	2023-05-13	2023-05-20	2023-05-27	2023-06-03	2023-06-10	2023-06-17	2023-06-24	2023-07-01	2023-07-08	2023-07-15	2023-07-22	2023-07-29	2023-08-05	2023-08-12	2023-08-19	2023-08-26
Maranhão	SC2	Pos	MA	Brazil										0.3343108504	0.5254629630	0.6412671233	0.5505181347	0.3739130435	0.2721518987	0.1851851852	0.1206896552	0.0483870968	0.0000000000	0.0178571429								0.2500000000	0.1578947368	0.1500000000	0.1341463415	0.3284671533	0.3409090909	0.4142259414	0.4480286738	0.4746543779	0.3606557377	0.2405063291	0.3387096774				0.0634920635											0.3114754098	0.5348837209	0.5050505051	0.4902912621	0.4117647059	0.2471910112											0.2459016393	0.1147540984	0.1744186047	0.1182795699	0.1571428571				0.2469135802	0.1228070175	0.2068965517	0.0517241379														
Maranhão	VSR	Pos	MA	Brazil														0.0000000000																																																																																	
Mato Grosso	ADENO	Pos	MT	Brazil																																																																																															
Mato Grosso	BAC	Pos	MT	Brazil																																																																																															
Mato Grosso	BOCA	Pos	MT	Brazil																																																																																															
Mato Grosso	COVS	Pos	MT	Brazil																																																																																															
Mato Grosso	ENTERO	Pos	MT	Brazil																																																																																															
Mato Grosso	FLUA	Pos	MT	Brazil												0.0564997703	0.0275049116	0.0075187970	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000		0.0000000000																																																																									
Mato Grosso	FLUB	Pos	MT	Brazil												0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000		0.0000000000																																																																									
Mato Grosso	META	Pos	MT	Brazil																																																																																															
Mato Grosso	PARA	Pos	MT	Brazil																																																																																															
Mato Grosso	RINO	Pos	MT	Brazil																																																																																															
