age_group, min_age, max_age
00-04, -1, 4
05-09, 5, 9
10-19, 10, 19
20-29, 20, 29
30-39, 30, 39
40-49, 40, 49
50-59, 50, 59
60-69, 60, 69
70-79, 70, 79
80+,   80, 1000
