name,detail
INFLUENZA_A,H1N1
INFLUENZA_A,AH3
VSR,VSRA
VSR,VSRB
PARAINFLUENZA,PH1
PARAINFLUENZA,PH2
PARAINFLUENZA,PH3
PARAINFLUENZA,PH4
