field	value	hex_color
pathogen	FLUA	#1f3d7a
pathogen	FLUB	#5ea6ed
pathogen	VSR	#DF4F4F
pathogen	SC2	#1B8B5B
pathogen	COVS	#40bf88
pathogen	META	#e699b0
pathogen	RINO	#671d8c
pathogen	ENTERO	#ad5cd6
pathogen	PARA	#d97726
pathogen	BOCA	#f0b642
pathogen	ADENO	#70c2c2
pathogen	BAC	#ABABAB
test_result	Pos	#F26F61
test_result	Neg	#577DBD
geneS_detection	Detected	#ABABAB
geneS_detection	Not detected	#016C59
