test_result	country	2021-12-18	2021-12-25	2022-01-01	2022-01-08	2022-01-15	2022-01-22	2022-01-29	2022-02-05	2022-02-12	2022-02-19	2022-02-26	2022-03-05	2022-03-12	2022-03-19	2022-03-26	2022-04-02	2022-04-09	2022-04-16	2022-04-23	2022-04-30	2022-05-07	2022-05-14	2022-05-21	2022-05-28	2022-06-04	2022-06-11	2022-06-18	2022-06-25	2022-07-02	2022-07-09	2022-07-16	2022-07-23	2022-07-30	2022-08-06	2022-08-13	2022-08-20	2022-08-27	2022-09-03	2022-09-10	2022-09-17	2022-09-24	2022-10-01	2022-10-08	2022-10-15	2022-10-22	2022-10-29	2022-11-05	2022-11-12	2022-11-19	2022-11-26
Positive	Brazil	111	878	6756	21656	19943	21392	12796	8102	3884	3031	960	458	461	327	458	538	648	805	940	1665	2163	2848	3949	5524	6328	8633	5341	4961	3890	5334	4849	2349	1395	923	635	402	256	226	192	301	359	328	443	330	619	1062	285	948	898	1106
Negative	Brazil	2831	17484	33989	71650	93422	79795	36224	31658	21406	17020	12506	6993	9291	8952	11779	13518	10543	8806	8551	11823	10939	10570	11660	12602	12543	14205	8507	8202	7479	11658	12977	9479	7311	6693	6451	6222	5829	5931	5451	5992	6226	5375	6407	4402	5435	5351	1601	4341	1645	9656
