state	pathogen	test_result	state_code	country	2021-12-11	2021-12-18	2021-12-25	2022-01-01	2022-01-08	2022-01-15	2022-01-22	2022-01-29	2022-02-05	2022-02-12	2022-02-19	2022-02-26	2022-03-05	2022-03-12	2022-03-19	2022-03-26	2022-04-02	2022-04-09	2022-04-16	2022-04-23	2022-04-30	2022-05-07	2022-05-14	2022-05-21	2022-05-28	2022-06-04	2022-06-11	2022-06-18	2022-06-25	2022-07-02	2022-07-09	2022-07-16	2022-07-23	2022-07-30	2022-08-06	2022-08-13	2022-08-20	2022-08-27	2022-09-03	2022-09-10	2022-09-17	2022-09-24	2022-10-01	2022-10-08	2022-10-15	2022-10-22	2022-10-29	2022-11-05	2022-11-12	2022-11-19	2022-11-26	2022-12-03	2022-12-10	2022-12-17	2022-12-24	2022-12-31	2023-01-07	2023-01-14	2023-01-21	2023-01-28	2023-02-04
Goiás	FLUA	0	AP	Brazil	60	55	65	309	674	1055	775	500	595	366	280	223	145	163	157	42	104	33	19	36	47	18	29	39	46	39	48	25	29	20	27	10	13	20	12	13	15	14	12	24	19	62	62	65	48	30	25	20	32	37	60	41	24	26	8	0	6	4	26	21	0
Maranhão	FLUA	1	AP	Brazil	0	0	2	17	32	32	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Maranhão	FLUA	0	AP	Brazil	13	4	7	16	30	39	15	0	61	22	8	6	4	3	1	1	2	4	1	0	1	1	2	1	5	2	1	2	0	1	1	0	0	0	1	0	0	0	0	2	0	0	0	0	1	1	1	0	2	0	0	1	0	0	0	0	1	1	0	0	0
Amapá	FLUA	1	AP	Brazil	0	0	0	23	11	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amazonas	FLUA	0	AP	Brazil	3	11	9	9	11	21	417	59	79	4	1	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amazonas	FLUA	1	AP	Brazil	0	0	0	1	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Piauí	FLUA	0	AP	Brazil	0	0	0	2	10	6	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Piauí	FLUA	1	AP	Brazil	0	0	0	1	15	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alagoas	FLUA	0	AP	Brazil	0	0	0	6	98	112	0	0	11	2	6	4	0	2	0	0	1	1	0	2	1	4	2	4	1	0	2	5	5	4	2	2	1	2	1	0	1	0	0	0	0	0	0	0	2	1	0	0	0	1	7	1	0	1	0	0	1	1	0	0	0
Alagoas	FLUA	1	AP	Brazil	0	0	1	13	68	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Santa Catarina	FLUA	0	AP	Brazil	1	3	13	58	267	191	0	0	8	9	8	0	0	1	2	0	2	2	3	4	6	1	4	8	18	9	12	28	24	29	21	51	21	14	13	11	12	9	1	8	6	5	3	3	2	10	19	5	22	10	20	10	14	6	1	0	3	0	0	0	0
Santa Catarina	FLUA	1	AP	Brazil	3	3	11	50	143	75	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	3	3	8	2	10	8	11	11	9	7	4	1	1	2	0	0	0	0	0	2	0	0	0	2	3	0	2	2	1	0	0	0	0	1	0	0	0	0	0
Mato Grosso	FLUA	0	AP	Brazil	158	167	131	266	594	1303	2388	989	789	463	190	175	84	57	57	27	65	9	0	2	1	2	1	1	2	2	3	1	1	3	3	2	1	1	1	1	0	2	0	1	0	0	1	1	0	3	3	0	0	2	3	1	0	3	0	0	0	0	0	0	0
Mato Grosso	FLUA	1	AP	Brazil	0	1	3	438	346	337	160	28	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Sergipe	FLUA	0	AP	Brazil	0	0	0	2	11	27	0	0	20	3	8	4	2	0	3	0	1	1	1	1	4	3	7	8	4	3	8	11	7	7	2	4	2	1	3	2	2	2	4	2	3	5	1	5	5	4	1	2	3	2	1	2	1	4	0	0	4	0	0	0	0
Sergipe	FLUA	1	AP	Brazil	0	0	0	3	21	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Pernambuco	FLUA	0	AP	Brazil	8	18	8	50	47	55	0	0	3	5	2	3	2	3	2	5	0	0	0	0	1	2	7	2	8	5	6	13	4	1	3	2	2	1	0	0	0	1	1	1	2	2	0	0	0	2	2	2	2	0	2	4	0	0	0	0	0	0	0	0	0
Pernambuco	FLUA	1	AP	Brazil	0	0	2	57	33	21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Rio de Janeiro	FLUA	0	AP	Brazil	425	287	132	270	804	2991	2058	605	557	241	149	84	67	90	68	48	83	24	7	23	30	61	73	105	78	107	94	77	70	46	54	58	34	44	33	19	31	29	43	47	36	25	29	34	41	45	62	31	144	7	115	61	42	38	1	0	26	24	23	30	0
Rio de Janeiro	FLUA	1	AP	Brazil	144	24	12	116	134	106	39	3	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	4	5	11	10	13	27	5	23	0	5	3	0	6	0	0	2	1	1	0	0
Espírito Santo	FLUA	0	AP	Brazil	54	48	17	16	29	86	182	136	101	38	12	14	16	18	9	2	7	3	2	1	2	2	2	0	2	3	2	1	1	1	5	0	0	1	1	0	0	1	1	0	2	0	1	0	0	5	0	2	3	1	2	0	1	0	0	0	0	0	0	0	0
Espírito Santo	FLUA	1	AP	Brazil	0	4	0	41	26	24	14	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Minas Gerais	FLUA	0	AP	Brazil	210	230	198	490	1654	3302	3247	1761	1704	751	426	432	210	201	96	16	112	32	4	3	4	7	7	8	14	10	14	8	10	12	4	1	7	4	4	2	1	6	3	7	12	7	5	8	7	11	8	4	1	2	6	7	2	2	0	0	5	0	0	0	0
Minas Gerais	FLUA	1	AP	Brazil	1	7	12	218	657	858	423	119	30	9	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	1	2	6	2	2	4	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Distrito Federal	FLUA	0	AP	Brazil	116	68	106	138	207	504	847	467	578	234	324	189	207	382	247	147	90	35	38	68	99	111	105	129	145	139	188	134	122	81	56	67	52	52	40	42	46	71	56	51	45	19	28	32	56	51	35	31	58	0	77	69	88	90	0	0	52	45	38	40	0
Distrito Federal	FLUA	1	AP	Brazil	5	0	4	202	213	299	168	16	7	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	2	1	3	9	29	17	10	3	5	8	3	4	2	7	0	0	2	1	0	0	0	0	2	0	0	0
Pará	FLUA	0	AP	Brazil	18	20	24	18	24	54	197	127	64	144	30	19	7	9	8	6	23	6	5	4	14	8	2	4	9	4	7	4	4	8	7	6	4	3	1	4	1	5	2	2	4	3	3	3	1	3	3	2	3	3	5	0	3	1	0	0	3	1	0	0	0
Pará	FLUA	1	AP	Brazil	0	3	1	15	8	18	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acre	SC2	Não Detectado	MA	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
São Paulo	SC2	Não Detectado	MA	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
