name	pathogen	test_result	epiweek	0-4	19-29	29-39	39-49	4-9	49-59	59-69	69-79	80+	9-19
Brasil	BOCA	Pos	2022-01-15	2	0	0	0	0	0	0	0	0	0
Brasil	BAC	Pos	2022-01-15	0	0	0	0	0	0	0	0	0	0
Brasil	SC2	Pos	2022-01-15	52	26	62	48	30	27	31	18	19	33
Brasil	FLUA	Neg	2022-01-15	90	40	93	96	45	49	54	43	48	52
Brasil	FLUA	Pos	2022-01-22	76	328	370	237	104	156	89	53	30	165
Brasil	PARA	Pos	2022-01-22	5	1	0	0	0	0	0	0	0	0
Brasil	ADENO	Pos	2022-01-22	3	0	0	0	0	0	0	0	0	0
Brasil	FLUB	Neg	2022-01-22	421	3934	4905	4013	572	2347	1225	572	308	1218
Brasil	ENTERO	Pos	2022-01-22	0	0	0	0	0	0	0	0	0	0
Brasil	COVS	Pos	2022-01-22	0	0	0	0	0	0	0	0	0	0
Brasil	BOCA	Neg	2022-01-22	15	17	22	11	5	16	21	18	11	12
Brasil	SC2	Pos	2022-01-22	291	2204	2955	2541	370	1447	717	324	171	688
Brasil	RINO	Neg	2022-01-22	41	19	21	11	18	15	21	17	11	28
Brasil	PARA	Neg	2022-01-22	43	18	22	11	18	16	21	18	11	30
Brasil	ADENO	Neg	2022-01-22	45	19	22	11	18	16	21	18	11	30
Brasil	META	Neg	2022-01-22	48	19	22	11	18	16	21	18	11	30
Brasil	SC2	Neg	2022-01-22	307	1745	1989	1569	321	923	549	282	167	609
Brasil	BAC	Pos	2022-01-22	0	0	0	0	0	0	0	0	0	0
Brasil	RINO	Pos	2022-01-22	7	0	1	0	0	1	0	1	0	2
Brasil	FLUB	Pos	2022-01-22	0	0	0	0	0	0	0	0	0	0
Brasil	FLUA	Neg	2022-01-22	522	3621	4574	3873	588	2214	1177	554	308	1132
Brasil	META	Pos	2022-01-22	0	0	0	0	0	0	0	0	0	0
Brasil	BAC	Neg	2022-01-22	48	19	22	11	18	16	21	18	11	30
Brasil	VSR	Neg	2022-01-22	564	3940	4921	4097	683	2364	1260	603	336	1290
Brasil	ENTERO	Neg	2022-01-22	15	17	22	11	5	16	21	18	11	12
Brasil	VSR	Pos	2022-01-22	34	9	23	13	9	6	6	4	2	7
Brasil	BOCA	Pos	2022-01-22	0	0	0	0	0	0	0	0	0	0
Brasil	COVS	Neg	2022-01-22	48	19	22	11	18	16	21	18	11	30
Brasil	SC2	Pos	2022-01-29	196	1037	1394	1199	211	709	353	164	119	398
Brasil	ENTERO	Pos	2022-01-29	0	0	0	0	0	0	0	0	0	0
Brasil	COVS	Pos	2022-01-29	0	0	0	0	0	1	0	0	0	0
Brasil	COVS	Neg	2022-01-29	39	24	17	12	11	8	8	9	10	13
Brasil	VSR	Neg	2022-01-29	331	1798	2269	1887	368	1092	600	297	194	658
Brasil	BAC	Pos	2022-01-29	0	0	0	0	0	0	0	0	0	0
Brasil	FLUB	Pos	2022-01-29	0	0	0	0	0	0	0	0	0	0
Brasil	VSR	Pos	2022-01-29	27	4	4	5	5	3	1	4	1	1
Brasil	RINO	Pos	2022-01-29	7	0	0	0	0	0	1	0	0	1
Brasil	ADENO	Pos	2022-01-29	2	0	0	0	0	0	0	1	1	0
Brasil	META	Neg	2022-01-29	35	24	17	12	11	9	8	9	10	13
Brasil	BOCA	Neg	2022-01-29	14	23	16	12	2	9	8	9	10	7
Brasil	META	Pos	2022-01-29	4	0	0	0	0	0	0	0	0	0
Brasil	FLUA	Pos	2022-01-29	23	86	74	68	50	37	23	9	6	46
Brasil	BAC	Neg	2022-01-29	39	24	17	12	11	9	8	9	10	13
Brasil	ADENO	Neg	2022-01-29	37	24	17	12	11	9	8	8	9	13
Brasil	RINO	Neg	2022-01-29	32	24	17	12	11	9	7	9	10	12
Brasil	FLUB	Neg	2022-01-29	217	1795	2229	1836	285	1060	571	264	158	619
Brasil	BOCA	Pos	2022-01-29	2	0	1	0	0	0	0	0	0	0
Brasil	PARA	Neg	2022-01-29	36	24	16	12	10	9	8	9	10	13
Brasil	FLUA	Neg	2022-01-29	335	1716	2199	1824	323	1058	578	292	189	613
Brasil	SC2	Neg	2022-01-29	160	765	879	693	162	386	247	137	73	261
Brasil	PARA	Pos	2022-01-29	3	0	1	0	1	0	0	0	0	0
Brasil	ENTERO	Neg	2022-01-29	16	23	17	12	2	9	8	9	10	7
Brasil	META	Neg	2022-02-05	20	13	4	2	19	4	3	5	5	14
Brasil	BOCA	Neg	2022-02-05	8	13	4	2	10	4	3	7	5	4
Brasil	ADENO	Pos	2022-02-05	4	0	0	0	2	0	1	1	0	0
Brasil	VSR	Neg	2022-02-05	335	1373	1979	1685	361	971	538	335	196	608
Brasil	RINO	Neg	2022-02-05	20	13	4	2	18	4	3	7	5	13
Brasil	SC2	Pos	2022-02-05	172	713	1105	964	196	569	289	177	109	346
Brasil	META	Pos	2022-02-05	2	0	0	0	0	0	0	2	0	0
