test_result	country	2021-11-06	2021-11-13	2021-11-20	2021-11-27	2021-12-04	2021-12-11	2021-12-18	2021-12-25	2022-01-01	2022-01-08	2022-01-15	2022-01-22	2022-01-29	2022-02-05	2022-02-12	2022-02-19	2022-02-26	2022-03-05	2022-03-12	2022-03-19	2022-03-26	2022-04-02	2022-04-09	2022-04-16	2022-04-23	2022-04-30	2022-05-07	2022-05-14	2022-05-21	2022-05-28	2022-06-04	2022-06-11	2022-06-18	2022-06-25	2022-07-02	2022-07-09	2022-07-16	2022-07-23	2022-07-30	2022-08-06	2022-08-13	2022-08-20	2022-08-27	2022-09-03	2022-09-10	2022-09-17	2022-09-24	2022-10-01	2022-10-08	2022-10-15	2022-10-22	2022-10-29	2022-11-05	2022-11-12	2022-11-19	2022-11-26	2022-12-03	2022-12-10	2022-12-17	2022-12-24	2022-12-31	2023-01-07	2023-01-14	2023-01-21	2023-01-28	2023-02-04	2023-02-11	2023-02-18	2023-02-25	2023-03-04	2023-03-11	2023-03-18	2023-03-25	2023-04-01	2023-04-08	2023-04-15	2023-04-22	2023-04-29	2023-05-06	2023-05-13	2023-05-20	2023-05-27	2023-06-03	2023-06-10	2023-06-17	2023-06-24	2023-07-01	2023-07-08	2023-07-15	2023-07-22	2023-07-29	2023-08-05	2023-08-12	2023-08-19	2023-08-26
Pos	Brazil	0	0	0	0	171	102	51	339	4501	66062	59271	75427	64882	42886	23426	14217	6929	3313	2550	1630	1658	1870	2222	2869	3348	5102	6968	11293	15131	24546	33459	40617	34175	32211	26499	20065	14305	8559	5421	3801	2938	2218	1660	1480	1879	2818	4193	3944	3809	2691	2595	3660	3441	9119	13599	13843	11879	10465	9788	7069	4670	2969	2253	1679	1528	1870	2536	3638	4262	5870	5777	5002	5354	4686	2801	2737	2581	3025	2760	2950	2679	2510	1981	1617	1349	1176	1030	782	647	516	451	466	464	654	577
Neg	Brazil	2	13	8	12	5219	11317	4702	7673	18095	139217	102960	140559	99449	86855	65117	54969	50114	35524	39028	35395	38578	42072	38365	35777	33705	40309	39197	44360	45077	53554	62529	65476	46088	47591	47164	45338	41141	32788	27831	25458	25512	26420	25705	25223	25266	29945	34627	31322	29779	24125	23997	23166	16885	27584	29418	32708	25691	22845	22411	18129	15723	13857	14068	13402	11554	12915	15439	19741	17959	23641	23672	22242	26363	27887	19111	20409	19135	24277	22261	24597	23953	23708	19770	16360	16329	14377	14209	11911	10447	8677	7246	7599	6427	7125	6664
